"lang","word","sentiment","value"
"finnish","ab","positive",1
"finnish","kyky","positive",1
"finnish","ede mainitu","positive",1
"finnish","absoluuttin","positive",1
"finnish","synninpäästö","positive",1
"finnish","imeytyy","positive",1
"finnish","runsaus","positive",1
"finnish","runsas","positive",1
"finnish","akateemin","positive",1
"finnish","akatem","positive",1
"finnish","hyväksyttäv","positive",1
"finnish","hyväksymin","positive",1
"finnish","saatav","positive",1
"finnish","kunnianosoitus","positive",1
"finnish","majoitus","positive",1
"finnish","säestys","positive",1
"finnish","suorit","positive",1
"finnish","suoritetu","positive",1
"finnish","suoritus","positive",1
"finnish","sopimus","positive",1
"finnish","vastuullisuus","positive",1
"finnish","tilivelvollin","positive",1
"finnish","valtuutetu","positive",1
"finnish","accueil","positive",1
"finnish","tark","positive",1
"finnish","äs","positive",1
"finnish","saavut","positive",1
"finnish","saavutus","positive",1
"finnish","kuittaus","positive",1
"finnish","hank","positive",1
"finnish","hankkimin","positive",1
"finnish","akrobaat","positive",1
"finnish","toimin","positive",1
"finnish","todellin","positive",1
"finnish","terävyys","positive",1
"finnish","terävyys","positive",1
"finnish","sopeut","positive",1
"finnish","mukautuv","positive",1
"finnish","osoit","positive",1
"finnish","mestar","positive",1
"finnish","riittävyys","positive",1
"finnish","lisä","positive",1
"finnish","ihailtav","positive",1
"finnish","amiraal","positive",1
"finnish","ihailu","positive",1
"finnish","iha","positive",1
"finnish","ihailij","positive",1
"finnish","hyväksyttäv","positive",1
"finnish","iha","positive",1
"finnish","palvon","positive",1
"finnish","jumaloid","positive",1
"finnish","edist","positive",1
"finnish","kehittyny","positive",1
"finnish","edistämin","positive",1
"finnish","etu","positive",1
"finnish","edullin","positive",1
"finnish","tulo","positive",1
"finnish","seikkailu","positive",1
"finnish","seikkailunhaluin","positive",1
"finnish","suositeltav","positive",1
"finnish","neuvo","positive",1
"finnish","neuvonantaj","positive",1
"finnish","asianaj","positive",1
"finnish","esteettin","positive",1
"finnish","estetiik","positive",1
"finnish","rakastettav","positive",1
"finnish","tunt","positive",1
"finnish","sidoks","positive",1
"finnish","vakuut","positive",1
"finnish","vakuutus","positive",1
"finnish","myöntäv","positive",1
"finnish","myöntäv","positive",1
"finnish","yltäkylläisyys","positive",1
"finnish","hyvinvoiv","positive",1
"finnish","ant","positive",1
"finnish","aga","positive",1
"finnish","ketter","positive",1
"finnish","ketteryys","positive",1
"finnish","suostu","positive",1
"finnish","miellyttäv","positive",1
"finnish","sovitu","positive",1
"finnish","sopimin","positive",1
"finnish","sopimus","positive",1
"finnish","maatalous","positive",1
"finnish","eteenp","positive",1
"finnish","tuki","positive",1
"finnish","avunanto","positive",1
"finnish","alabaster","positive",1
"finnish","valppaus","positive",1
"finnish","ravinto","positive",1
"finnish","elo","positive",1
"finnish","lievit","positive",1
"finnish","uskollisuus","positive",1
"finnish","allegro","positive",1
"finnish","lievit","positive",1
"finnish","lievitys","positive",1
"finnish","liittoutunu","positive",1
"finnish","sallitu","positive",1
"finnish","viehät","positive",1
"finnish","viettelev","positive",1
"finnish","liittolain","positive",1
"finnish","kaikkivaltias","positive",1
"finnish","näkem","positive",1
"finnish","hämmästyttäv","positive",1
"finnish","suurlähettiläs","positive",1
"finnish","kunnianhimo","positive",1
"finnish","parant","positive",1
"finnish","aame","positive",1
"finnish","myöntyväin","positive",1
"finnish","muut","positive",1
"finnish","muute","positive",1
"finnish","mukavuud","positive",1
"finnish","rakastettav","positive",1
"finnish","sovinnollin","positive",1
"finnish","ylein armahdus","positive",1
"finnish","rakkausjutu","positive",1
"finnish","huvit","positive",1
"finnish","huvittunu","positive",1
"finnish","huvi","positive",1
"finnish","huvittav","positive",1
"finnish","analyytiko","positive",1
"finnish","ankkur","positive",1
"finnish","ankkuroint","positive",1
"finnish","enkel","positive",1
"finnish","enkelimäin","positive",1
"finnish","elävöit","positive",1
"finnish","elois","positive",1
"finnish","antibioot","positive",1
"finnish","vastamyrky","positive",1
"finnish","antifungal","positive",1
"finnish","antiik","positive",1
"finnish","antiseptin","positive",1
"finnish","itsevarmuus","positive",1
"finnish","anteeksipyytäv","positive",1
"finnish","ant","positive",1
"finnish","anteeksipyyntö","positive",1
"finnish","apostol","positive",1
"finnish","suosionosoituks","positive",1
"finnish","arvostus","positive",1
"finnish","suostumus","positive",1
"finnish","hyväksymin","positive",1
"finnish","hyväksy","positive",1
"finnish","hyväksyv","positive",1
"finnish","osuv","positive",1
"finnish","soveltuvuus","positive",1
"finnish","arkeolog","positive",1
"finnish","kiihk","positive",1
"finnish","kiihko","positive",1
"finnish","ylhäisö","positive",1
"finnish","aristokraattin","positive",1
"finnish","aseellin","positive",1
"finnish","panssar","positive",1
"finnish","tuoksu","positive",1
"finnish","herät","positive",1
"finnish","ryhm","positive",1
"finnish","taide","positive",1
"finnish","nivelt","positive",1
"finnish","artikulaatio","positive",1
"finnish","käsityöläin","positive",1
"finnish","viihdetaiteilij","positive",1
"finnish","taiteellin","positive",1
"finnish","ylemmyys","positive",1
"finnish","nousu","positive",1
"finnish","toive","positive",1
"finnish","aspir","positive",1
"finnish","kunnianhimoin","positive",1
"finnish","kokoonpano","positive",1
"finnish","suostumus","positive",1
"finnish","väitäe","positive",1
"finnish","omaisuus","positive",1
"finnish","aut","positive",1
"finnish","apu","positive",1
"finnish","työtover","positive",1
"finnish","tyynnyt","positive",1
"finnish","varmuus","positive",1
"finnish","varm","positive",1
"finnish","hämmästyttäv","positive",1
"finnish","hämmästys","positive",1
"finnish","astrolog","positive",1
"finnish","astronaut","positive",1
"finnish","tähtitieteilij","positive",1
"finnish","neuvokas","positive",1
"finnish","urheilij","positive",1
"finnish","urheilu -","positive",1
"finnish","atom","positive",1
"finnish","sovit","positive",1
"finnish","sovitus","positive",1
"finnish","liite","positive",1
"finnish","saavutettav","positive",1
"finnish","saavuttamin","positive",1
"finnish","liittyv","positive",1
"finnish","huomio","positive",1
"finnish","tarkkaavain","positive",1
"finnish","osoit","positive",1
"finnish","asianajaj","positive",1
"finnish","nähtävyys","positive",1
"finnish","houkuttelevuut","positive",1
"finnish","lisä","positive",1
"finnish","eloku","positive",1
"finnish","täti","positive",1
"finnish","aura","positive",1
"finnish","lupaav","positive",1
"finnish","aito","positive",1
"finnish","aitous","positive",1
"finnish","kirjailij","positive",1
"finnish","arvovaltain","positive",1
"finnish","auktoriteet","positive",1
"finnish","valtuutus","positive",1
"finnish","sallitu","positive",1
"finnish","avatar","positive",1
"finnish","palkinto","positive",1
"finnish","ay","positive",1
"finnish","kyl","positive",1
"finnish","vauva","positive",1
"finnish","kandidaat arvo","positive",1
"finnish","selkärank","positive",1
"finnish","tasapaino","positive",1
"finnish","tasapainoin","positive",1
"finnish","ballad","positive",1
"finnish","balet","positive",1
"finnish","äänestys","positive",1
"finnish","lohtu","positive",1
"finnish","palsam","positive",1
"finnish","juhla-ater","positive",1
"finnish","kast","positive",1
"finnish","kast -","positive",1
"finnish","bard","positive",1
"finnish","tink","positive",1
"finnish","koripalo","positive",1
"finnish","linnak","positive",1
"finnish","kylpy","positive",1
"finnish","palk","positive",1
"finnish","säteilev","positive",1
"finnish","kaunistamis","positive",1
"finnish","kaunis","positive",1
"finnish","kaunist","positive",1
"finnish","kauneus","positive",1
"finnish","kallioper","positive",1
"finnish","olu","positive",1
"finnish","sovelias","positive",1
"finnish","osoit jkle ystävällisyyt","positive",1
"finnish","uskoe","positive",1
"finnish","hyväntekij","positive",1
"finnish","suotuis","positive",1
"finnish","hyöty","positive",1
"finnish","hyväntahtoisuus","positive",1
"finnish","hyvänlaatuin","positive",1
"finnish","laituripaik","positive",1
"finnish","kihlatu","positive",1
"finnish","parannus","positive",1
"finnish","juoma","positive",1
"finnish","raamatullin","positive",1
"finnish","kaksikielin","positive",1
"finnish","syntym","positive",1
"finnish","syntymäpäiv","positive",1
"finnish","nuhteeto","positive",1
"finnish","siuna","positive",1
"finnish","siunatu","positive",1
"finnish","siunaus","positive",1
"finnish","siunauks","positive",1
"finnish","autuus","positive",1
"finnish","autuas","positive",1
"finnish","veretö","positive",1
"finnish","kukin","positive",1
"finnish","kuk","positive",1
"finnish","ylp","positive",1
"finnish","henkivartij","positive",1
"finnish","riehakas","positive",1
"finnish","rohk","positive",1
"finnish","rohkeus","positive",1
"finnish","vahvist","positive",1
"finnish","kultakaivos","positive",1
"finnish","bon","positive",1
"finnish","bonus","positive",1
"finnish","kirjaviisas","positive",1
"finnish","kirjakaup","positive",1
"finnish","lukutouk","positive",1
"finnish","siunaus","positive",1
"finnish","yltäkylläin","positive",1
"finnish","palkio","positive",1
"finnish","kukkakimpu","positive",1
"finnish","äly","positive",1
"finnish","urhoollisuus","positive",1
"finnish","aamiain","positive",1
"finnish","morsiam","positive",1
"finnish","morsia","positive",1
"finnish","sulhan","positive",1
"finnish","morsiusneito","positive",1
"finnish","kirkast","positive",1
"finnish","kirkkaus","positive",1
"finnish","loistav","positive",1
"finnish","brokad","positive",1
"finnish","veli","positive",1
"finnish","veljeys","positive",1
"finnish","veljellin","positive",1
"finnish","puk","positive",1
"finnish","kaver","positive",1
"finnish","rakent","positive",1
"finnish","rakennus","positive",1
"finnish","bulldog","positive",1
"finnish","luodinkestäv","positive",1
"finnish","poiju","positive",1
"finnish","bus","positive",1
"finnish","hovimestar","positive",1
"finnish","kant","positive",1
"finnish","uhk","positive",1
"finnish","sir","positive",1
"finnish","ohjaamo","positive",1
"finnish","kaap","positive",1
"finnish","kahvil","positive",1
"finnish","lask","positive",1
"finnish","vasik","positive",1
"finnish","tyyni","positive",1
"finnish","kanarialintu","positive",1
"finnish","vilpitö","positive",1
"finnish","ehdokas","positive",1
"finnish","sokeroitu","positive",1
"finnish","kapital","positive",1
"finnish","kapt","positive",1
"finnish","valloit","positive",1
"finnish","valloittav","positive",1
"finnish","ura","positive",1
"finnish","huolellin","positive",1
"finnish","huolellis","positive",1
"finnish","hyvä","positive",1
"finnish","talonmies","positive",1
"finnish","joululaulu","positive",1
"finnish","vesiputous","positive",1
"finnish","kätein","positive",1
"finnish","kategorin","positive",1
"finnish","tyydyt","positive",1
"finnish","cathartic","positive",1
"finnish","tuomiokirko","positive",1
"finnish","varovain","positive",1
"finnish","varov","positive",1
"finnish","juhlitu","positive",1
"finnish","juhl","positive",1
"finnish","juhl","positive",1
"finnish","julkkis","positive",1
"finnish","taivaallin","positive",1
"finnish","keskus","positive",1
"finnish","sadanpäämies","positive",1
"finnish","aivo","positive",1
"finnish","seremon","positive",1
"finnish","varmuus","positive",1
"finnish","puheenjohtaj","positive",1
"finnish","puheenjohtaj","positive",1
"finnish","mestar","positive",1
"finnish","laulu","positive",1
"finnish","latur","positive",1
"finnish","hyväntekeväisyys -","positive",1
"finnish","hyväntekeväisyys","positive",1
"finnish","viehätys","positive",1
"finnish","onnekas","positive",1
"finnish","viehättäv","positive",1
"finnish","siveys","positive",1
"finnish","chattering","positive",1
"finnish","tarkistusl","positive",1
"finnish","eläkö","positive",1
"finnish","hyväntuulin","positive",1
"finnish","iloisuus","positive",1
"finnish","hurraav","positive",1
"finnish","pirt","positive",1
"finnish","kemist","positive",1
"finnish","vaal","positive",1
"finnish","kirsik","positive",1
"finnish","päällikö","positive",1
"finnish","lap","positive",1
"finnish","lapsuus","positive",1
"finnish","visert","positive",1
"finnish","talt","positive",1
"finnish","ritarilaitos","positive",1
"finnish","sukl","positive",1
"finnish","valin","positive",1
"finnish","kuoro","positive",1
"finnish","kuoro -","positive",1
"finnish","kertosäe","positive",1
"finnish","valitu","positive",1
"finnish","chowder","positive",1
"finnish","kronik","positive",1
"finnish","hihit","positive",1
"finnish","kirko","positive",1
"finnish","siider","positive",1
"finnish","ympärileikkaus","positive",1
"finnish","kiertämin","positive",1
"finnish","kansalain","positive",1
"finnish","siviil -","positive",1
"finnish","kohteliaisuus","positive",1
"finnish","sivistys","positive",1
"finnish","sivistyny","positive",1
"finnish","selvänäkij","positive",1
"finnish","taput","positive",1
"finnish","selvent","positive",1
"finnish","klassin","positive",1
"finnish","klassin","positive",1
"finnish","klassiko","positive",1
"finnish","luokit","positive",1
"finnish","puhdas","positive",1
"finnish","puhdistus","positive",1
"finnish","puhtaus","positive",1
"finnish","siistist","positive",1
"finnish","puhdist","positive",1
"finnish","puhdistus","positive",1
"finnish","raivaamin","positive",1
"finnish","selvyys","positive",1
"finnish","toimisto -","positive",1
"finnish","taitav","positive",1
"finnish","nokkeluut","positive",1
"finnish","kliima","positive",1
"finnish","läheisyys","positive",1
"finnish","sulkemin","positive",1
"finnish","vaatet","positive",1
"finnish","pel","positive",1
"finnish","koalitio","positive",1
"finnish","ranniko","positive",1
"finnish","ol yh aika olem","positive",1
"finnish","vakuuttav","positive",1
"finnish","kognitiivin","positive",1
"finnish","yhtenäisyys","positive",1
"finnish","johdonmukain","positive",1
"finnish","yhtenäin","positive",1
"finnish","kollektiivis","positive",1
"finnish","ever","positive",1
"finnish","jättiläismäin","positive",1
"finnish","mukavuus","positive",1
"finnish","komendant","positive",1
"finnish","komentav","positive",1
"finnish","muisto","positive",1
"finnish","muistojuhl","positive",1
"finnish","muisto -","positive",1
"finnish","kiit","positive",1
"finnish","kiitettäv","positive",1
"finnish","kommentaattor","positive",1
"finnish","sitoutunu","positive",1
"finnish","kommodor","positive",1
"finnish","commonwealth","positive",1
"finnish","tiedot","positive",1
"finnish","kommunikatiivin","positive",1
"finnish","yhteys","positive",1
"finnish","yhteisö","positive",1
"finnish","työmatkaliik","positive",1
"finnish","matkust","positive",1
"finnish","seuralain","positive",1
"finnish","myötätunto","positive",1
"finnish","myötätuntoin","positive",1
"finnish","yhteensopivuus","positive",1
"finnish","yhteensopiv","positive",1
"finnish","mukaansatempaav","positive",1
"finnish","hyvit","positive",1
"finnish","korvaav","positive",1
"finnish","pätevyys","positive",1
"finnish","pätevyys","positive",1
"finnish","pätev","positive",1
"finnish","omahyväisyys","positive",1
"finnish","täydennys","positive",1
"finnish","täydentäv","positive",1
"finnish","täys","positive",1
"finnish","täydellisyys","positive",1
"finnish","suoritetua","positive",1
"finnish","valmistumin","positive",1
"finnish","noudattamin","positive",1
"finnish","yhteensopiv","positive",1
"finnish","rikoskumppanuus","positive",1
"finnish","kohteliaisuus","positive",1
"finnish","kokoonpano","positive",1
"finnish","säveltäj","positive",1
"finnish","malt","positive",1
"finnish","ymmärt","positive",1
"finnish","kattav","positive",1
"finnish","tover","positive",1
"finnish","samankeskin","positive",1
"finnish","sovittelu","positive",1
"finnish","päätös -","positive",1
"finnish","sopu","positive",1
"finnish","konkordans","positive",1
"finnish","surunvalittelu","positive",1
"finnish","suva","positive",1
"finnish","edistäv","positive",1
"finnish","johtokyky","positive",1
"finnish","liittoutunu","positive",1
"finnish","tunnust","positive",1
"finnish","itseluottamus","positive",1
"finnish","luottavain","positive",1
"finnish","vahvistetu","positive",1
"finnish","mukaisuud","positive",1
"finnish","samanhenkin","positive",1
"finnish","onnittelu","positive",1
"finnish","seurakun","positive",1
"finnish","kongruens","positive",1
"finnish","tuntij","positive",1
"finnish","omatunto","positive",1
